"S120VC	2000-03-19 01:24:40",,,,"2.262625E-04	51",2.262625E-04
"2.600847E-04	61057",,,,"2.669526E-04	62258","2.669526E-04	"
"2.623835E-04	61357",,,,"2.686288E-04	62558","2.686288E-04	"
"2.637397E-04	61657",,,,"2.705131E-04	62858","2.705131E-04	"
"2.651375E-04	61957",,,,"2.719499E-04	63158","2.719499E-04	"
"2.669526E-04	62258",,,,"2.734959E-04	63458","2.734959E-04	"
"2.686288E-04	62558",,,,"2.756921E-04	63764","2.756921E-04	"
"2.705131E-04	62858",,,,"2.773169E-04	64064","2.773169E-04	"
"2.719499E-04	63158",,,,"2.789148E-04	64364","2.789148E-04	"
"2.734959E-04	63458",,,,"2.808408E-04	64664","2.808408E-04	"
"2.756921E-04	63764",,,,"2.821032E-04	64964","2.821032E-04	"
"2.773169E-04	64064",,,,"2.840104E-04	65264","2.840104E-04	"
"2.789148E-04	64364",,,,"2.855567E-04	65564","2.855567E-04	"
"2.808408E-04	64664",,,,"2.870910E-04	65864","2.870910E-04	"
"2.821032E-04	64964",,,,"2.887478E-04	66164","2.887478E-04	"
"2.840104E-04	65264",,,,"2.904055E-04	66464","2.904055E-04	"
"2.855567E-04	65564",,,,"2.922409E-04	66764","2.922409E-04	"
"2.870910E-04	65864",,,,"2.932703E-04	67064","2.932703E-04	"
"2.887478E-04	66164",,,,"2.953334E-04	67364","2.953334E-04	"
"2.904055E-04	66464",,,,"2.968069E-04	67664","2.968069E-04	"
"2.922409E-04	66764",,,,"2.987046E-04	67964","2.987046E-04	"
"2.932703E-04	67064",,,,"3.001188E-04	68264","3.001188E-04	"
"2.953334E-04	67364",,,,"3.015584E-04	68564","3.015584E-04	"
"2.968069E-04	67664",,,,"3.036447E-04	68864","3.036447E-04	"
"2.987046E-04	67964",,,,"3.048917E-04	69164","3.048917E-04	"
"3.001188E-04	68264",,,,"3.066798E-04	69464","3.066798E-04	"
"3.015584E-04	68564",,,,"3.078126E-04	69766","3.078126E-04	"
"3.036447E-04	68864",,,,"3.090402E-04	70066","3.090402E-04	"
"3.048917E-04	69164",,,,"3.114195E-04	70366","3.114195E-04	"
"3.066798E-04	69464",,,,"3.125590E-04	70666","3.125590E-04	"
"3.078126E-04	69766",,,,"3.140429E-04	70966","3.140429E-04	"
"3.090402E-04	70066",,,,"3.156969E-04	71266","3.156969E-04	"
"3.114195E-04	70366",,,,"3.174136E-04	71566","3.174136E-04	"
